Year,State/Area,Rate
1991,New Hampshire,7.3
1992,New Hampshire,7.3
1993,New Hampshire,6.1
1994,New Hampshire,4.7
1995,New Hampshire,4.0
1996,New Hampshire,3.8
1997,New Hampshire,3.3
1998,New Hampshire,2.8
1999,New Hampshire,2.7
2000,New Hampshire,2.7
2001,New Hampshire,3.4
2002,New Hampshire,4.5
2003,New Hampshire,4.3
2004,New Hampshire,3.8
2005,New Hampshire,3.6
2006,New Hampshire,3.4
2007,New Hampshire,3.5
2008,New Hampshire,3.9
2009,New Hampshire,6.2
2010,New Hampshire,5.8
2011,New Hampshire,5.4
2012,New Hampshire,5.5
2013,New Hampshire,5.1
2014,New Hampshire,4.3
2015,New Hampshire,3.4
2016,New Hampshire,2.9
2017,New Hampshire,2.7
2018,New Hampshire,2.5
1981,New Jersey,7.4
1982,New Jersey,8.7
1983,New Jersey,8.0
1984,New Jersey,6.2
1985,New Jersey,5.6
1986,New Jersey,5.0
1987,New Jersey,4.1
1988,New Jersey,3.8
1989,New Jersey,4.1
1990,New Jersey,5.0
1991,New Jersey,6.7
1992,New Jersey,8.4
1993,New Jersey,7.6
1994,New Jersey,6.8
1995,New Jersey,6.4
1996,New Jersey,6.1
1997,New Jersey,5.3
1998,New Jersey,4.6
1999,New Jersey,4.5
2000,New Jersey,3.7
2001,New Jersey,4.3
2002,New Jersey,5.8
2003,New Jersey,5.8
2004,New Jersey,4.8
2005,New Jersey,4.5
2006,New Jersey,4.7
2007,New Jersey,4.3
2008,New Jersey,5.3
2009,New Jersey,9.1
2010,New Jersey,9.5
2011,New Jersey,9.3
2012,New Jersey,9.3
2013,New Jersey,8.2
2014,New Jersey,6.8
2015,New Jersey,5.8
2016,New Jersey,5.0
2017,New Jersey,4.6
2018,New Jersey,4.1
1981,New Mexico,7.3
1982,New Mexico,9.2
1983,New Mexico,9.7
1984,New Mexico,7.8
1985,New Mexico,8.3
1986,New Mexico,9.3
1987,New Mexico,8.7
1988,New Mexico,7.5
1989,New Mexico,6.7
1990,New Mexico,6.6
1991,New Mexico,7.1
1992,New Mexico,7.2
1993,New Mexico,7.0
1994,New Mexico,6.5
1995,New Mexico,6.6
1996,New Mexico,7.2
1997,New Mexico,6.3
1998,New Mexico,6.1
1999,New Mexico,5.6
2000,New Mexico,4.9
2001,New Mexico,4.9
2002,New Mexico,5.5
2003,New Mexico,5.9
2004,New Mexico,5.5
2005,New Mexico,5.1
2006,New Mexico,4.2
2007,New Mexico,3.8
2008,New Mexico,4.5
2009,New Mexico,7.5
2010,New Mexico,8.1
2011,New Mexico,7.5
2012,New Mexico,7.1
2013,New Mexico,6.9
2014,New Mexico,6.7
2015,New Mexico,6.5
2016,New Mexico,6.6
2017,New Mexico,5.9
2018,New Mexico,4.9
1981,New York,7.6
1982,New York,8.5
1983,New York,8.7
1984,New York,7.2
1985,New York,6.6
1986,New York,6.2
1987,New York,4.9
1988,New York,4.3
1989,New York,5.0
1990,New York,5.3
1991,New York,7.2
1992,New York,8.6
1993,New York,7.9
1994,New York,6.9
1995,New York,6.3
1996,New York,6.2
1997,New York,6.4
1998,New York,5.6
1999,New York,5.2
2000,New York,4.5
2001,New York,4.8
2002,New York,6.1
2003,New York,6.4
2004,New York,5.8
2005,New York,5.0
2006,New York,4.5
2007,New York,4.6
2008,New York,5.4
2009,New York,8.3
2010,New York,8.6
2011,New York,8.3
2012,New York,8.5
2013,New York,7.7
2014,New York,6.3
2015,New York,5.3
2016,New York,4.9
2017,New York,4.7
2018,New York,4.1
1981,North Carolina,6.5
1982,North Carolina,9.2
1983,North Carolina,9.0
1984,North Carolina,6.7
1985,North Carolina,5.6
1986,North Carolina,5.3
1987,North Carolina,4.5
1988,North Carolina,3.6
1989,North Carolina,3.5
1990,North Carolina,4.1
1991,North Carolina,5.8
1992,North Carolina,6.0
1993,North Carolina,5.0
1994,North Carolina,4.4
1995,North Carolina,4.3
1996,North Carolina,4.3
1997,North Carolina,3.7
1998,North Carolina,3.5
1999,North Carolina,3.2
2000,North Carolina,3.7
2001,North Carolina,5.5
2002,North Carolina,6.6
2003,North Carolina,6.4
2004,North Carolina,5.5
2005,North Carolina,5.2
2006,North Carolina,4.7
2007,North Carolina,4.7
2008,North Carolina,6.1
2009,North Carolina,10.6
2010,North Carolina,10.9
2011,North Carolina,10.3
2012,North Carolina,9.3
2013,North Carolina,8.0
2014,North Carolina,6.3
2015,North Carolina,5.7
2016,North Carolina,5.1
2017,North Carolina,4.5
2018,North Carolina,3.9
1981,North Dakota,4.8
1982,North Dakota,5.6
1983,North Dakota,5.7
1984,North Dakota,5.3
1985,North Dakota,5.7
1986,North Dakota,5.9
1987,North Dakota,5.0
1988,North Dakota,4.7
1989,North Dakota,4.3
1990,North Dakota,4.0
1991,North Dakota,4.4
1992,North Dakota,4.7
1993,North Dakota,4.3
1994,North Dakota,3.7
1995,North Dakota,3.2
1996,North Dakota,2.9
1997,North Dakota,2.7
1998,North Dakota,2.9
1999,North Dakota,3.3
2000,North Dakota,3.0
2001,North Dakota,2.9
2002,North Dakota,3.7
2003,North Dakota,3.7
2004,North Dakota,3.4
2005,North Dakota,3.4
2006,North Dakota,3.2
2007,North Dakota,3.1
2008,North Dakota,3.2
2009,North Dakota,4.1
2010,North Dakota,3.8
2011,North Dakota,3.5
2012,North Dakota,3.1
2013,North Dakota,2.9
2014,North Dakota,2.7
2015,North Dakota,2.8
2016,North Dakota,3.1
2017,North Dakota,2.7
2018,North Dakota,2.6
1981,Ohio,9.4
1982,Ohio,12.7
1983,Ohio,12.4
1984,Ohio,9.5
1985,Ohio,8.9
1986,Ohio,8.3
1987,Ohio,7.1
1988,Ohio,6.0
1989,Ohio,5.5
1990,Ohio,5.6
1991,Ohio,6.5
1992,Ohio,7.4
1993,Ohio,6.6
1994,Ohio,5.6
1995,Ohio,4.8
1996,Ohio,5.0
1997,Ohio,4.6
1998,Ohio,4.3
1999,Ohio,4.3
2000,Ohio,4.0
2001,Ohio,4.3
2002,Ohio,5.7
2003,Ohio,6.2
2004,Ohio,6.3
2005,Ohio,5.9
2006,Ohio,5.4
2007,Ohio,5.6
2008,Ohio,6.4
2009,Ohio,10.3
2010,Ohio,10.3
2011,Ohio,8.8
2012,Ohio,7.4
2013,Ohio,7.5
2014,Ohio,5.8
2015,Ohio,4.9
2016,Ohio,5.0
2017,Ohio,5.0
2018,Ohio,4.6
1981,Oklahoma,3.6
1982,Oklahoma,6.0
1983,Oklahoma,8.4
1984,Oklahoma,7.1
1985,Oklahoma,7.2
1986,Oklahoma,8.2
1987,Oklahoma,7.3
1988,Oklahoma,6.4
1989,Oklahoma,5.6
1990,Oklahoma,5.7
1991,Oklahoma,6.3
1992,Oklahoma,6.0
1993,Oklahoma,5.9
1994,Oklahoma,5.6
1995,Oklahoma,4.6
1996,Oklahoma,4.1
1997,Oklahoma,4.1
1998,Oklahoma,4.3
1999,Oklahoma,3.5
2000,Oklahoma,3.0
2001,Oklahoma,3.7
2002,Oklahoma,4.7
2003,Oklahoma,5.5
2004,Oklahoma,4.9
2005,Oklahoma,4.5
2006,Oklahoma,4.0
2007,Oklahoma,4.1
2008,Oklahoma,3.7
2009,Oklahoma,6.4
2010,Oklahoma,6.8
2011,Oklahoma,5.9
2012,Oklahoma,5.2
2013,Oklahoma,5.3
2014,Oklahoma,4.5
2015,Oklahoma,4.4
2016,Oklahoma,4.8
2017,Oklahoma,4.2
2018,Oklahoma,3.4
1981,Oregon,9.8
1982,Oregon,11.5
1983,Oregon,10.8
1984,Oregon,9.4
1985,Oregon,8.8
1986,Oregon,8.0
1987,Oregon,6.3
1988,Oregon,5.8
1989,Oregon,5.4
1990,Oregon,5.5
1991,Oregon,6.4
1992,Oregon,7.4
1993,Oregon,7.0
1994,Oregon,5.4
1995,Oregon,4.9
1996,Oregon,5.7
1997,Oregon,5.7
1998,Oregon,5.7
1999,Oregon,5.5
2000,Oregon,5.1
2001,Oregon,6.4
2002,Oregon,7.5
2003,Oregon,8.1
2004,Oregon,7.3
2005,Oregon,6.2
2006,Oregon,5.3
2007,Oregon,5.2
2008,Oregon,6.5
2009,Oregon,11.3
2010,Oregon,10.6
2011,Oregon,9.5
2012,Oregon,8.8
2013,Oregon,7.9
2014,Oregon,6.8
2015,Oregon,5.6
2016,Oregon,4.8
2017,Oregon,4.1
2018,Oregon,4.2
1981,Pennsylvania,8.4
1982,Pennsylvania,11.2
1983,Pennsylvania,11.5
1984,Pennsylvania,9.1
1985,Pennsylvania,8.0
1986,Pennsylvania,6.9
1987,Pennsylvania,5.6
1988,Pennsylvania,5.0
1989,Pennsylvania,4.7
1990,Pennsylvania,5.5
1991,Pennsylvania,7.0
1992,Pennsylvania,7.6
1993,Pennsylvania,7.0
1994,Pennsylvania,6.3
1995,Pennsylvania,5.9
1996,Pennsylvania,5.4
1997,Pennsylvania,5.1
1998,Pennsylvania,4.6
1999,Pennsylvania,4.4
2000,Pennsylvania,4.1
2001,Pennsylvania,4.8
2002,Pennsylvania,5.6
2003,Pennsylvania,5.7
2004,Pennsylvania,5.4
2005,Pennsylvania,5.0
2006,Pennsylvania,4.6
2007,Pennsylvania,4.4
2008,Pennsylvania,5.3
2009,Pennsylvania,8.0
2010,Pennsylvania,8.5
2011,Pennsylvania,7.9
2012,Pennsylvania,7.8
2013,Pennsylvania,7.4
2014,Pennsylvania,5.9
2015,Pennsylvania,5.3
2016,Pennsylvania,5.4
2017,Pennsylvania,4.9
2018,Pennsylvania,4.3
1981,Rhode Island,7.8
1982,Rhode Island,9.7
1983,Rhode Island,8.3
1984,Rhode Island,5.5
1985,Rhode Island,4.6
1986,Rhode Island,4.1
1987,Rhode Island,3.6
1988,Rhode Island,3.1
1989,Rhode Island,4.1
1990,Rhode Island,6.3
1991,Rhode Island,8.6
1992,Rhode Island,8.9
1993,Rhode Island,7.7
1994,Rhode Island,6.9
1995,Rhode Island,6.3
1996,Rhode Island,5.4
1997,Rhode Island,5.1
1998,Rhode Island,4.6
1999,Rhode Island,4.2
2000,Rhode Island,4.1
2001,Rhode Island,4.6
2002,Rhode Island,5.0
2003,Rhode Island,5.3
2004,Rhode Island,5.2
2005,Rhode Island,5.0
2006,Rhode Island,4.9
2007,Rhode Island,5.2
2008,Rhode Island,7.8
2009,Rhode Island,11.0
2010,Rhode Island,11.2
2011,Rhode Island,11.0
2012,Rhode Island,10.4
2013,Rhode Island,9.3
2014,Rhode Island,7.7
2015,Rhode Island,6.0
2016,Rhode Island,5.2
2017,Rhode Island,4.4
2018,Rhode Island,4.1
1981,South Carolina,8.1
1982,South Carolina,11.1
1983,South Carolina,9.9
1984,South Carolina,6.9
1985,South Carolina,6.9
1986,South Carolina,6.4
1987,South Carolina,5.5
1988,South Carolina,4.7
1989,South Carolina,4.6
1990,South Carolina,4.8
1991,South Carolina,6.1
1992,South Carolina,6.7
1993,South Carolina,7.3
1994,South Carolina,6.2
1995,South Carolina,5.2
1996,South Carolina,5.8
1997,South Carolina,4.6
1998,South Carolina,3.8
1999,South Carolina,4.3
2000,South Carolina,3.8
2001,South Carolina,5.2
2002,South Carolina,5.8
2003,South Carolina,6.9
2004,South Carolina,6.8
2005,South Carolina,6.7
2006,South Carolina,6.4
2007,South Carolina,5.7
2008,South Carolina,6.8
2009,South Carolina,11.2
2010,South Carolina,11.2
2011,South Carolina,10.6
2012,South Carolina,9.2
2013,South Carolina,7.6
2014,South Carolina,6.5
2015,South Carolina,6.0
2016,South Carolina,5.0
2017,South Carolina,4.3
2018,South Carolina,3.4
1981,South Dakota,5.0
1982,South Dakota,5.5
1983,South Dakota,5.2
1984,South Dakota,4.4
1985,South Dakota,4.8
1986,South Dakota,4.6
1987,South Dakota,4.2
1988,South Dakota,4.1
1989,South Dakota,4.0
1990,South Dakota,3.8
1991,South Dakota,3.5
1992,South Dakota,3.3
1993,South Dakota,3.4
1994,South Dakota,3.3
1995,South Dakota,3.0
1996,South Dakota,3.2
1997,South Dakota,2.9
1998,South Dakota,2.8
1999,South Dakota,2.7
2000,South Dakota,2.5
2001,South Dakota,3.1
2002,South Dakota,3.2
2003,South Dakota,3.5
2004,South Dakota,3.7
2005,South Dakota,3.8
2006,South Dakota,3.1
2007,South Dakota,2.8
2008,South Dakota,3.1
2009,South Dakota,4.9
2010,South Dakota,5.0
2011,South Dakota,4.7
2012,South Dakota,4.3
2013,South Dakota,3.8
2014,South Dakota,3.4
2015,South Dakota,3.1
2016,South Dakota,3.0
2017,South Dakota,3.2
2018,South Dakota,3.0
1981,Tennessee,9.0
1982,Tennessee,11.7
1983,Tennessee,11.5
1984,Tennessee,8.5
1985,Tennessee,7.9
1986,Tennessee,7.9
1987,Tennessee,6.6
1988,Tennessee,5.8
1989,Tennessee,5.1
1990,Tennessee,5.3
1991,Tennessee,6.8
1992,Tennessee,6.5
1993,Tennessee,5.8
1994,Tennessee,4.8
1995,Tennessee,5.2
1996,Tennessee,5.2
1997,Tennessee,5.3
1998,Tennessee,4.3
1999,Tennessee,4.0
2000,Tennessee,3.9
2001,Tennessee,4.6
2002,Tennessee,5.2
2003,Tennessee,5.6
2004,Tennessee,5.3
2005,Tennessee,5.6
2006,Tennessee,5.2
2007,Tennessee,4.7
2008,Tennessee,6.6
2009,Tennessee,10.5
2010,Tennessee,9.7
2011,Tennessee,9.0
2012,Tennessee,7.8
2013,Tennessee,7.8
2014,Tennessee,6.6
2015,Tennessee,5.6
2016,Tennessee,4.7
2017,Tennessee,3.8
2018,Tennessee,3.5
1981,Texas,5.3
1982,Texas,6.9
1983,Texas,7.9
1984,Texas,6.1
1985,Texas,7.0
1986,Texas,8.8
1987,Texas,8.4
1988,Texas,7.3
1989,Texas,6.7
1990,Texas,6.3
1991,Texas,6.9
1992,Texas,7.6
1993,Texas,7.2
1994,Texas,6.5
1995,Texas,6.1
1996,Texas,5.7
1997,Texas,5.3
1998,Texas,4.9
1999,Texas,4.7
2000,Texas,4.3
2001,Texas,5.0
2002,Texas,6.4
2003,Texas,6.7
2004,Texas,5.9
2005,Texas,5.4
2006,Texas,4.9
2007,Texas,4.3
2008,Texas,4.8
2009,Texas,7.6
2010,Texas,8.1
2011,Texas,7.8
2012,Texas,6.7
2013,Texas,6.3
2014,Texas,5.1
2015,Texas,4.4
2016,Texas,4.6
2017,Texas,4.3
2018,Texas,3.9
1981,Utah,6.6
1982,Utah,8.2
1983,Utah,8.7
1984,Utah,6.5
1985,Utah,6.0
1986,Utah,6.1
1987,Utah,6.2
1988,Utah,5.0
1989,Utah,4.5
1990,Utah,4.4
1991,Utah,4.7
1992,Utah,4.8
1993,Utah,4.1
1994,Utah,3.8
1995,Utah,3.5
1996,Utah,3.4
1997,Utah,3.2
1998,Utah,3.6
1999,Utah,3.5
2000,Utah,3.3
2001,Utah,4.4
2002,Utah,5.8
2003,Utah,5.6
2004,Utah,5.0
2005,Utah,4.1
2006,Utah,3.0
2007,Utah,2.6
2008,Utah,3.6
2009,Utah,7.3
2010,Utah,7.8
2011,Utah,6.7
2012,Utah,5.4
2013,Utah,4.6
2014,Utah,3.8
2015,Utah,3.6
2016,Utah,3.4
2017,Utah,3.3
2018,Utah,3.1
1981,Vermont,5.8
1982,Vermont,7.0
1983,Vermont,6.4
1984,Vermont,5.1
1985,Vermont,4.8
1986,Vermont,4.3
1987,Vermont,3.6
1988,Vermont,3.0
1989,Vermont,3.5
1990,Vermont,5.0
1991,Vermont,6.6
1992,Vermont,6.1
1993,Vermont,5.2
1994,Vermont,4.6
1995,Vermont,4.3
1996,Vermont,4.3
1997,Vermont,3.9
1998,Vermont,3.4
1999,Vermont,3.0
2000,Vermont,2.8
2001,Vermont,3.3
2002,Vermont,4.0
2003,Vermont,4.3
2004,Vermont,3.7
2005,Vermont,3.5
2006,Vermont,3.7
2007,Vermont,4.0
2008,Vermont,4.7
2009,Vermont,6.6
2010,Vermont,6.1
2011,Vermont,5.5
2012,Vermont,5.0
2013,Vermont,4.4
2014,Vermont,3.9
2015,Vermont,3.6
2016,Vermont,3.2
2017,Vermont,3.0
2018,Vermont,2.7
1981,Virginia,6.0
1982,Virginia,7.4
1983,Virginia,6.4
1984,Virginia,5.1
1985,Virginia,5.5
1986,Virginia,5.0
1987,Virginia,4.3
1988,Virginia,3.9
1989,Virginia,3.9
1990,Virginia,4.5
1991,Virginia,5.9
1992,Virginia,6.3
1993,Virginia,5.2
1994,Virginia,4.9
1995,Virginia,4.5
1996,Virginia,4.4
1997,Virginia,3.8
1998,Virginia,2.9
1999,Virginia,2.7
2000,Virginia,2.3
2001,Virginia,3.2
2002,Virginia,4.2
2003,Virginia,4.1
2004,Virginia,3.8
2005,Virginia,3.6
2006,Virginia,3.1
2007,Virginia,3.0
2008,Virginia,3.9
2009,Virginia,6.7
2010,Virginia,7.1
2011,Virginia,6.6
2012,Virginia,6.1
2013,Virginia,5.7
2014,Virginia,5.2
2015,Virginia,4.5
2016,Virginia,4.1
2017,Virginia,3.7
2018,Virginia,3.0
1981,Washington,9.6
1982,Washington,11.9
1983,Washington,11.1
1984,Washington,9.3
1985,Washington,8.4
1986,Washington,8.1
1987,Washington,7.3
1988,Washington,6.3
1989,Washington,5.9
1990,Washington,5.2
1991,Washington,6.3
1992,Washington,7.3
1993,Washington,7.3
1994,Washington,6.6
1995,Washington,6.4
1996,Washington,6.1
1997,Washington,4.9
1998,Washington,4.8
1999,Washington,4.9
2000,Washington,5.2
2001,Washington,6.3
2002,Washington,7.4
2003,Washington,7.4
2004,Washington,6.3
2005,Washington,5.6
2006,Washington,5.0
2007,Washington,4.7
2008,Washington,5.4
2009,Washington,9.2
2010,Washington,10.0
2011,Washington,9.3
2012,Washington,8.1
2013,Washington,7.0
2014,Washington,6.1
2015,Washington,5.6
2016,Washington,5.3
2017,Washington,4.7
2018,Washington,4.5
1981,West Virginia,10.6
1982,West Virginia,14.0
1983,West Virginia,17.8
1984,West Virginia,14.8
1985,West Virginia,13.1
1986,West Virginia,11.8
1987,West Virginia,10.8
1988,West Virginia,9.8
1989,West Virginia,8.6
1990,West Virginia,8.5
1991,West Virginia,10.6
1992,West Virginia,11.3
1993,West Virginia,10.6
1994,West Virginia,8.8
1995,West Virginia,7.9
1996,West Virginia,7.5
1997,West Virginia,6.9
1998,West Virginia,6.6
1999,West Virginia,6.5
2000,West Virginia,5.5
2001,West Virginia,5.0
2002,West Virginia,5.9
2003,West Virginia,6.0
2004,West Virginia,5.3
2005,West Virginia,5.1
2006,West Virginia,4.9
2007,West Virginia,4.6
2008,West Virginia,4.3
2009,West Virginia,7.7
2010,West Virginia,8.7
2011,West Virginia,8.1
2012,West Virginia,7.5
2013,West Virginia,6.8
2014,West Virginia,6.6
2015,West Virginia,6.7
2016,West Virginia,6.1
2017,West Virginia,5.2
2018,West Virginia,5.3
1981,Wisconsin,8.0
1982,Wisconsin,10.5
1983,Wisconsin,10.2
1984,Wisconsin,7.4
1985,Wisconsin,7.2
1986,Wisconsin,7.0
1987,Wisconsin,5.9
1988,Wisconsin,4.4
1989,Wisconsin,4.3
1990,Wisconsin,4.4
1991,Wisconsin,5.5
1992,Wisconsin,5.1
1993,Wisconsin,4.8
1994,Wisconsin,4.5
1995,Wisconsin,3.8
1996,Wisconsin,3.6
1997,Wisconsin,3.6
1998,Wisconsin,3.4
1999,Wisconsin,3.1
2000,Wisconsin,3.5
2001,Wisconsin,4.5
2002,Wisconsin,5.4
2003,Wisconsin,5.7
2004,Wisconsin,5.0
2005,Wisconsin,4.7
2006,Wisconsin,4.7
2007,Wisconsin,4.9
2008,Wisconsin,4.9
2009,Wisconsin,8.6
2010,Wisconsin,8.7
2011,Wisconsin,7.8
2012,Wisconsin,7.0
2013,Wisconsin,6.7
2014,Wisconsin,5.4
2015,Wisconsin,4.6
2016,Wisconsin,4.0
2017,Wisconsin,3.3
2018,Wisconsin,3.0
1981,Wyoming,4.1
1982,Wyoming,6.2
1983,Wyoming,8.2
1984,Wyoming,6.3
1985,Wyoming,6.9
1986,Wyoming,8.9
1987,Wyoming,8.0
1988,Wyoming,6.5
1989,Wyoming,6.1
1990,Wyoming,5.3
1991,Wyoming,5.2
1992,Wyoming,5.6
1993,Wyoming,5.3
1994,Wyoming,5.0
1995,Wyoming,4.8
1996,Wyoming,4.9
1997,Wyoming,4.8
1998,Wyoming,4.7
1999,Wyoming,4.6
2000,Wyoming,3.9
2001,Wyoming,3.8
2002,Wyoming,4.0
2003,Wyoming,4.3
2004,Wyoming,3.8
2005,Wyoming,3.6
2006,Wyoming,3.2
2007,Wyoming,2.8
2008,Wyoming,3.1
2009,Wyoming,6.3
2010,Wyoming,6.4
2011,Wyoming,5.8
2012,Wyoming,5.3
2013,Wyoming,4.7
2014,Wyoming,4.1
2015,Wyoming,4.3
2016,Wyoming,5.3
2017,Wyoming,4.2
2018,Wyoming,4.1
